entry_time,direction,entry,stop,target,exit_price,exit_time,outcome,r_multiple,pnl,confidence,zone_type
2020-10-08 08:35:00,long,1892.128,1890.7312142857143,1897.518,1890.7312142857143,2020-10-08 09:25:00,loss,-1.0,-50.0,2,CISD+zone
2020-10-08 09:30:00,short,1890.708,1890.7236928571429,1890.065,1890.7236928571429,2020-10-08 09:35:00,loss,-1.0,-49.75,3,CISD+FVG
2020-10-09 09:40:00,short,1912.768,1912.6597785714287,1911.668,1912.6597785714287,2020-10-09 09:45:00,loss,1.0,49.50125,3,CISD+FVG
2020-10-09 12:00:00,short,1914.665,1914.794907142857,1914.158,1914.794907142857,2020-10-09 12:05:00,loss,-1.0,-99.4975125,5,CISD+BKR
2020-10-12 08:40:00,short,1923.218,1923.1849571428572,1922.355,1923.1849571428572,2020-10-12 08:45:00,loss,1.0,49.251268687499994,2,CISD+zone
2020-10-15 12:05:00,short,1892.638,1892.855792857143,1891.778,1891.778,2020-10-15 12:10:00,win,3.9487061755903383,390.90236553220046,5,CISD+BKR
2020-10-16 12:55:00,short,1907.105,1907.31005,1905.758,1907.31005,2020-10-16 13:00:00,loss,-1.0,-51.4520368585985,3,CISD+FVG
2020-10-19 13:45:00,short,1909.765,1909.965792857143,1908.965,1908.965,2020-10-19 13:50:00,win,3.9842054711676336,203.97050932097312,3,CISD+FVG
2020-10-19 14:15:00,short,1908.298,1908.2290071428572,1902.715,1908.2290071428572,2020-10-19 14:20:00,loss,1.0,52.21462922091037,3,CISD+FVG
2020-10-28 13:55:00,short,1876.368,1876.6789857142858,1873.058,1876.6789857142858,2020-10-28 14:00:00,loss,-1.0,-52.47570236701492,2,CISD+zone
2020-10-29 08:05:00,short,1879.678,1879.2905714285714,1875.675,1879.2905714285714,2020-10-29 08:20:00,loss,1.0,52.21332385517985,3,CISD+FVG
2020-10-29 12:30:00,short,1869.375,1869.4138071428572,1869.208,1869.4138071428572,2020-10-29 12:35:00,loss,-1.0,-52.47439047445574,3,CISD+FVG
2020-11-02 08:30:00,short,1882.455,1882.5254071428571,1881.198,1882.5254071428571,2020-11-02 08:35:00,loss,-1.0,-104.42403704416692,4,CISD+IFVG
2020-11-04 07:10:00,short,1896.018,1897.1121928571429,1886.835,1897.1121928571429,2020-11-04 11:45:00,loss,-1.0,-51.689898336862626,2,CISD+zone
2020-11-10 07:35:00,short,1884.548,1884.8831,1883.038,1884.8831,2020-11-10 07:40:00,loss,-1.0,-102.86289769035662,5,CISD+BKR
2020-11-10 08:55:00,short,1887.418,1887.6629142857144,1885.878,1885.878,2020-11-10 09:00:00,win,6.287914139052826,320.16256904171314,4,CISD+IFVG
2020-11-10 09:55:00,short,1878.848,1878.9522714285715,1867.375,1867.375,2020-11-10 11:00:00,win,110.03014111507723,5778.557141703093,3,CISD+FVG
2020-11-11 13:00:00,short,1871.028,1871.1700642857143,1869.868,1871.1700642857143,2020-11-11 13:05:00,loss,-1.0,-81.41073291045056,3,CISD+FVG
2020-11-27 07:05:00,short,1808.555,1808.8821357142858,1806.835,1808.8821357142858,2020-11-27 07:10:00,loss,-1.0,-81.00367924589831,2,CISD+zone
2020-11-30 09:00:00,short,1776.318,1776.3422071428572,1774.218,1774.218,2020-11-30 09:10:00,win,86.75125405695772,6992.034904020192,2,CISD+zone
2020-12-03 13:10:00,short,1838.648,1838.6171214285714,1837.725,1838.6171214285714,2020-12-03 13:15:00,loss,1.0,231.11767073953956,5,CISD+BKR
2020-12-11 09:10:00,long,1833.998,1831.1565428571428,1849.515,1831.1565428571428,2020-12-11 11:00:00,loss,-1.0,-233.42884744693492,5,CISD+BKR
2020-12-14 08:20:00,short,1829.685,1829.8312285714285,1827.158,1827.158,2020-12-14 08:40:00,win,17.281164517393954,1996.7915463388886,2,CISD+zone
2020-12-16 13:30:00,short,1854.468,1854.4535214285715,1850.848,1854.4535214285715,2020-12-16 13:40:00,loss,1.0,125.53123721792727,3,CISD+FVG
2020-12-21 07:40:00,short,1897.078,1898.22605,1882.808,1898.22605,2020-12-21 08:20:00,loss,-1.0,-126.1588934040169,2,CISD+zone
2020-12-22 14:45:00,short,1873.865,1874.8509999999999,1854.955,1874.8509999999999,2020-12-22 14:50:00,loss,-1.0,-125.52809893699681,2,CISD+zone
2020-12-28 08:10:00,short,1883.908,1884.2044285714287,1881.808,1884.2044285714287,2020-12-28 08:15:00,loss,-1.0,-124.90045844231183,2,CISD+zone
2020-12-30 12:00:00,short,1878.425,1878.5103928571427,1877.885,1878.5103928571427,2020-12-30 12:05:00,loss,-1.0,-124.27595615010027,2,CISD+zone
2020-12-31 14:50:00,short,1893.905,1895.6922357142857,1885.308,1895.6922357142857,2020-12-31 15:05:00,loss,-1.0,-123.65457636934978,2,CISD+zone
2021-01-06 12:00:00,short,1948.278,1948.3944285714285,1943.665,1943.665,2021-01-06 12:35:00,win,39.62085889572546,9749.608039060024,4,CISD+IFVG
2021-01-07 12:15:00,short,1915.358,1916.5439857142856,1911.185,1916.5439857142856,2021-01-07 12:30:00,loss,-1.0,-343.56868736560625,5,CISD+BKR
2021-01-18 14:55:00,short,1834.478,1834.8027857142856,1833.328,1833.328,2021-01-18 15:00:00,win,3.540796129318063,602.1708057976181,2,CISD+zone
2021-01-20 09:50:00,short,1854.864,1855.1640357142855,1853.778,1853.778,2021-01-20 10:05:00,win,3.619569098919258,1252.9308865127155,5,CISD+BKR
2021-01-25 14:30:00,short,1862.405,1865.8690857142856,1837.195,1837.195,2021-01-27 14:35:00,win,7.27753354832881,1305.1674849937035,2,CISD+zone
2021-01-27 14:45:00,short,1834.965,1835.1553428571428,1831.227,1835.1553428571428,2021-01-27 14:50:00,loss,-1.0,-185.8678461324953,2,CISD+zone
2021-02-02 13:05:00,short,1842.285,1842.4856357142855,1839.015,1842.4856357142855,2021-02-02 13:10:00,loss,-1.0,-184.93850690183282,2,CISD+zone
2021-02-08 09:00:00,short,1811.115,1811.2834142857143,1808.313,1811.2834142857143,2021-02-08 09:20:00,loss,-1.0,-184.01381436732365,2,CISD+zone
2021-02-09 08:35:00,short,1839.388,1839.4912428571429,1838.448,1839.4912428571429,2021-02-09 08:40:00,loss,-1.0,-366.18749059097405,4,CISD+IFVG
2021-02-09 14:45:00,short,1839.932,1840.2154071428572,1838.938,1840.2154071428572,2021-02-09 14:50:00,loss,-1.0,-181.26280784253217,3,CISD+FVG
2021-02-10 08:10:00,short,1843.075,1843.1940071428571,1842.215,1843.1940071428571,2021-02-10 08:15:00,loss,-1.0,-360.712987606639,4,CISD+IFVG
2021-02-10 09:30:00,short,1843.165,1843.6912571428572,1833.915,1843.6912571428572,2021-02-10 13:10:00,loss,-1.0,-178.5529288652863,4,CISD+IFVG
2021-02-10 14:55:00,short,1841.785,1843.4926642857142,1833.915,1843.4926642857142,2021-02-10 15:05:00,loss,-1.0,-177.6601642209599,5,CISD+IFVG
2021-02-12 12:05:00,short,1817.205,1818.0527714285713,1812.625,1818.0527714285713,2021-02-12 13:00:00,loss,-1.0,-176.7718633998551,2,CISD+zone
2021-02-15 13:50:00,short,1818.605,1819.7997714285714,1810.395,1819.7997714285714,2021-02-15 14:35:00,loss,-1.0,-175.88800408285584,2,CISD+zone
2021-02-17 08:10:00,short,1787.205,1787.0881785714284,1786.604,1786.604,2021-02-17 08:15:00,win,5.144604096603124,900.3497756162669,2,CISD+zone
2021-02-17 09:15:00,short,1786.225,1786.3572428571429,1783.705,1786.3572428571429,2021-02-17 09:25:00,loss,-1.0,-179.51031294052288,2,CISD+zone
2021-02-19 07:30:00,short,1769.925,1771.4090857142855,1760.44,1771.4090857142855,2021-02-19 07:40:00,loss,-1.0,-357.22552275164054,5,CISD+BKR
2021-02-19 09:50:00,short,1772.325,1772.2184214285714,1771.021,1771.021,2021-02-19 09:55:00,win,12.235104885729129,2163.4924106692406,5,CISD+BKR
2021-02-19 12:00:00,short,1769.605,1769.73415,1768.305,1769.73415,2021-02-19 12:05:00,loss,-1.0,-187.64409581540826,3,CISD+FVG
2021-02-23 09:55:00,short,1804.695,1804.5981642857143,1780.545,1804.5981642857143,2021-02-23 10:05:00,loss,1.0,186.70587533633122,2,CISD+zone
2021-02-26 07:15:00,short,1758.245,1757.8202214285714,1756.041,1757.8202214285714,2021-02-26 07:20:00,loss,1.0,187.63940471301288,2,CISD+zone
2021-03-04 13:30:00,short,1716.614,1717.339107142857,1713.435,1717.339107142857,2021-03-04 13:40:00,loss,-1.0,-377.15520347315595,4,CISD+IFVG
2021-03-08 08:30:00,short,1695.468,1695.5401285714286,1687.138,1695.5401285714286,2021-03-08 08:35:00,loss,-1.0,-186.69182571921218,2,CISD+zone
2021-03-08 09:00:00,short,1695.975,1696.5607357142858,1691.594,1691.594,2021-03-08 09:10:00,win,7.479482457956567,1389.3764443331784,2,CISD+zone
2021-03-10 08:00:00,short,1713.248,1714.8406857142859,1680.014,1714.8406857142859,2021-03-10 08:50:00,loss,-1.0,-192.705248812282,2,CISD+zone
2021-03-10 09:50:00,short,1712.868,1713.0113642857143,1710.754,1713.0113642857143,2021-03-10 09:55:00,loss,-1.0,-191.7417225682206,2,CISD+zone
2021-03-17 07:55:00,long,1735.754,1734.73225,1740.902,1734.73225,2021-03-17 08:00:00,loss,-1.0,-190.78301395537952,2,CISD+zone
2021-03-18 13:30:00,short,1724.728,1724.7277214285714,1724.018,1724.018,2021-03-18 13:35:00,win,2548.717947723341,483820.83132988424,2,CISD+zone
2021-03-22 09:15:00,short,1729.075,1729.2195285714286,1728.498,1729.2195285714286,2021-03-22 09:20:00,loss,-1.0,-2608.933255535024,2,CISD+zone
2021-03-23 13:05:00,short,1737.508,1737.4919,1736.125,1736.125,2021-03-23 13:10:00,win,85.90062111774111,222988.442169663,3,CISD+FVG
2021-03-24 12:05:00,long,1730.728,1729.6588714285715,1735.639,1729.6588714285715,2021-03-24 13:50:00,loss,-1.0,-3710.830800105664,2,CISD+zone
2021-03-29 12:05:00,short,1724.805,1725.5764571428572,1721.498,1725.5764571428572,2021-03-29 12:20:00,loss,-1.0,-3692.2766461051356,2,CISD+zone
2021-03-31 08:10:00,short,1683.775,1684.2355071428572,1681.735,1684.2355071428572,2021-03-31 08:15:00,loss,-1.0,-3673.81526287461,3,CISD+FVG
